Index,A-191107-11cm-1,A-191107-11cm-2,A-191107-1cm-1,A-191107-1cm-2,A-191107-6cm-1,A-191107-6cm-2,A-191107-LW-1,A-191107-LW-2,A-191107-scum-1,A-191107-scum-2,A-191220-11cm-1,A-191220-11cm-2,A-191220-1cm-1,A-191220-1cm-2,A-191220-6cm-1,A-191220-6cm-2,A-191220-LW-1,A-191220-LW-2,A-200225-10cm-1,A-200225-10cm-2,A-200225-15cm-1,A-200225-15cm-2,A-200225-1cm-1,A-200225-1cm-2,A-200225-5cm-1,A-200225-5cm-2,A-200225-LW-1,A-200404-11cm-1,A-200404-11cm-2,A-200404-1cm-1,A-200404-1cm-2,A-200404-6cm-1,A-200404-6cm-2,A-200404-LW-1,A-200404-LW-2,A-200506-LW-1,A-200506-LW-2,A-200701-LW-1,A-200701-LW-2,A-200731-11cm-1,A-200731-11cm-2,A-200731-15cm-1,A-200731-15cm-2,A-200731-16cm-1,A-200731-16cm-2,A-200731-20cm-1,A-200731-20cm-2,A-200731-6cm-1,A-200731-6cm-2,A-200731-LW-1,A-200731-LW-2,A-200731-WaterSurfaceMat-1,A-200731-WaterSurfaceMat-2,A-200912-LW-1,A-200912-LW-2,A-201008-10cm-1,A-201008-10cm-2,A-201008-1cm-1,A-201008-1cm-2,A-201008-6cm-1,A-201008-6cm-2,A-201008-LW-1,A-201008-LW-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Marinobacteraceae;g__Marinobacter;__,33,23,438,335,107,47,0,0,38,29,0,20,878,482,0,13,0,13,19,31,0,13,165,189,22,21,0,0,35,361,268,35,54,0,0,0,0,0,0,12,0,0,463,0,0,13,114,0,611,84,39,92,103,0,0,73,76,836,351,192,184,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Dactylococcopsis_PCC-8305;s__uncultured_organism,7,0,484,571,199,0,0,0,0,0,0,0,355,520,0,0,0,0,0,0,0,0,242,213,3,4,0,0,67,79,147,21,6,0,0,0,0,0,0,3,0,0,532,0,0,0,49,6,389,19,0,14,16,0,0,8,40,292,119,142,215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;__,0,0,755,706,260,9,0,0,31,24,0,0,450,405,0,0,0,0,0,33,0,39,142,119,24,38,0,0,27,84,1667,23,19,0,0,0,0,0,0,0,0,0,521,13,15,0,128,5,466,22,58,30,27,0,0,34,22,420,129,83,118,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Caldatribacteriota;c__JS1;o__JS1;f__JS1;g__JS1;s__uncultured_organism,112,72,174,134,644,1363,0,0,133,75,414,432,413,335,856,977,0,0,1158,1465,127,842,138,240,1629,1235,0,258,836,138,92,85,262,0,0,0,0,0,0,790,1188,1040,274,565,462,12,245,1628,312,13,0,87,58,0,0,0,195,211,199,164,388,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;__,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured;s__uncultured_organism,0,0,278,228,85,9,0,7,15,25,0,0,204,269,0,0,0,0,0,4,0,0,72,78,0,0,0,0,18,28,123,0,14,0,0,0,0,0,0,0,0,14,148,0,0,18,48,0,128,0,2,14,20,0,0,9,19,141,88,69,124,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;__,19,0,87,106,52,86,0,0,0,0,0,15,268,229,34,26,0,0,34,54,36,20,212,303,21,148,0,0,40,401,271,105,148,0,0,0,0,0,0,14,19,133,1055,0,0,0,265,50,986,2,8,73,43,0,0,199,507,907,939,505,237,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;__;__,84,0,0,0,0,15,24,37,0,0,44,49,19,22,47,42,106,133,52,36,63,66,0,0,32,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,85,0,0,153,269,0,0,0,0,13,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__uncultured;s__bacterium_YC-ZSS-LKJ56,21,0,322,165,48,28,0,0,0,0,22,26,346,301,295,317,0,0,673,1065,198,560,98,123,133,39,0,9,53,50,62,24,46,0,0,0,0,0,0,79,80,43,290,19,13,0,46,10,243,0,0,11,0,0,0,21,24,262,196,85,130,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Parcubacteria;f__Parcubacteria;g__Parcubacteria;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,16,4,16,13,0,0,0,4,23,12,20,0,4,4,5,2,0,0,10,519,67,32,235,0,0,0,0,0,0,0,11,11,4,0,0,0,30,21,125,0,0,0,0,0,0,1137,309,58,308,1269,61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
